id,original,team,surface,pronunciation,type,org_id,image,image_page
13,ホアン・アイケルバーガー,ヤクルト,ホアン・アイケルバーガー,ホアン・アイケルバーガー,full,13,http://commons.wikimedia.org/wiki/Special:FilePath/Juan_Eichelberger_Indians.jpg,https://commons.wikimedia.org/wiki/File:Juan_Eichelberger_Indians.jpg
13,ホアン・アイケルバーガー,ヤクルト,ホアン,ホアン,given,13,http://commons.wikimedia.org/wiki/Special:FilePath/Juan_Eichelberger_Indians.jpg,https://commons.wikimedia.org/wiki/File:Juan_Eichelberger_Indians.jpg
14,愛甲猛,ロッテ-中日,愛甲,アイコウ,family,14,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_c492489f52.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_c492489f52.svg
14,愛甲猛,ロッテ-中日,愛甲猛,アイコウタケシ,full,14,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_c492489f52.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_c492489f52.svg
14,愛甲猛,ロッテ-中日,猛,タケシ,given,14,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_c492489f52.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_c492489f52.svg
15,逢坂輝樹,西武,逢坂,アイサカ,family,15,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_065f7a0c1a.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_065f7a0c1a.svg
15,逢坂輝樹,西武,逢坂輝樹,アイサカテルキ,full,15,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_065f7a0c1a.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_065f7a0c1a.svg
15,逢坂輝樹,西武,輝樹,テルキ,given,15,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_065f7a0c1a.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_065f7a0c1a.svg
16,相沢邦昭,東映,相沢,アイザワ,family,16,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_115638b885.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_115638b885.svg
16,相沢邦昭,東映,相沢邦昭,アイザワクニアキ,full,16,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_115638b885.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_115638b885.svg
16,相沢邦昭,東映,邦昭,クニアキ,given,16,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_115638b885.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_115638b885.svg
17,相沢晋,楽天,相沢,アイザワ,family,17,http://commons.wikimedia.org/wiki/Special:FilePath/S_aizawa20140924.jpg,https://commons.wikimedia.org/wiki/File:S_aizawa20140924.jpg
17,相沢晋,楽天,相沢晋,アイザワススム,full,17,http://commons.wikimedia.org/wiki/Special:FilePath/S_aizawa20140924.jpg,https://commons.wikimedia.org/wiki/File:S_aizawa20140924.jpg
