id,original,surface,pronunciation,class,extinct,family,genus,image,image_page,wikidata
52,アカギ,アカギ,アカギ,双子葉,no,コミカンソウ科,アカギ属,http://commons.wikimedia.org/wiki/Special:FilePath/Bischofia_javanica.jpg,https://commons.wikimedia.org/wiki/File:Bischofia_javanica.jpg,Q8248272
53,アカクキミズキ,アカクキミズキ,アカクキミズキ,双子葉,no,ミズキ科,ミズキ属,http://commons.wikimedia.org/wiki/Special:FilePath/Red_Osier_Dogwood.jpg,https://commons.wikimedia.org/wiki/File:Red_Osier_Dogwood.jpg,Q164130
54,アカゲノイソツツジ,アカゲノイソツツジ,アカゲノイソツツジ,双子葉,no,ツツジ科,ツツジ属,http://commons.wikimedia.org/wiki/Special:FilePath/Rhododendron_groenlandicum.jpg,https://commons.wikimedia.org/wiki/File:Rhododendron_groenlandicum.jpg,Q247753
55,アカザカズラ,アカザカズラ,アカザカズラ,双子葉,no,ツルムラサキ科,Anredera,http://commons.wikimedia.org/wiki/Special:FilePath/Anredera_Cordifolia.jpg,https://commons.wikimedia.org/wiki/File:Anredera_Cordifolia.jpg,Q848254
56,アカシア・リジデュラ,アカシア・リジデュラ,アカシア・リジデュラ,双子葉,no,,,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_dicot.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
57,アカシデ,アカシデ,アカシデ,双子葉,no,カバノキ科,クマシデ属,http://commons.wikimedia.org/wiki/Special:FilePath/%EC%84%9C%EC%96%B4%EB%82%98%EB%AC%B4.JPG,https://commons.wikimedia.org/wiki/File:%EC%84%9C%EC%96%B4%EB%82%98%EB%AC%B4.JPG,Q4147190
58,アカタコノキ,アカタコノキ,アカタコノキ,単子葉,no,タコノキ科,タコノキ属,http://commons.wikimedia.org/wiki/Special:FilePath/Bermuda_-_Pandanus_utilis_%28Screwpine%29.jpg,https://commons.wikimedia.org/wiki/File:Bermuda_-_Pandanus_utilis_%28Screwpine%29.jpg,Q310595
59,アカツキザクラ,アカツキザクラ,アカツキザクラ,双子葉,no,,,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_dicot.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
60,アカテツ,アカテツ,アカテツ,双子葉,no,アカテツ科,Planchonella,http://commons.wikimedia.org/wiki/Special:FilePath/Pouteria_obovata_RGB_Sydney.jpg,https://commons.wikimedia.org/wiki/File:Pouteria_obovata_RGB_Sydney.jpg,Q2679213
61,アカナンキョクブナ,アカナンキョクブナ,アカナンキョクブナ,双子葉,no,ナンキョクブナ科,ナンキョクブナ属,http://commons.wikimedia.org/wiki/Special:FilePath/Red_Beech_Tree_%28Nothofagus_fusca%29.tif,https://commons.wikimedia.org/wiki/File:Red_Beech_Tree_%28Nothofagus_fusca%29.tif,Q311764
