id,original,surface,pronunciation,class,extinct,order,family,image,image_page,wikidata
54,アカムシユスリカ,アカムシユスリカ,アカムシユスリカ,ハエ,no,ハエ目,ユスリカ科,http://commons.wikimedia.org/wiki/Special:FilePath/Chironomidae_Non-biting_Midge.jpg,https://commons.wikimedia.org/wiki/File:Chironomidae_Non-biting_Midge.jpg,Q14560732
55,アカモンオオモモブトシデムシ,アカモンオオモモブトシデムシ,アカモンオオモモブトシデムシ,甲虫,no,コウチュウ目,シデムシ科,http://commons.wikimedia.org/wiki/Special:FilePath/F6-3_Diamesus_osculans_%28Vigors%2C_1825%29_%283%29.jpg,https://commons.wikimedia.org/wiki/File:F6-3_Diamesus_osculans_%28Vigors%2C_1825%29_%283%29.jpg,Q107590501
56,アカヤマアリ,アカヤマアリ,アカヤマアリ,ハチ,no,ハチ目,アリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Formica_polyctena_01.JPG,https://commons.wikimedia.org/wiki/File:Formica_polyctena_01.JPG,Q1721213
57,アカヤマウラオビフタオシジミ,アカヤマウラオビフタオシジミ,アカヤマウラオビフタオシジミ,チョウ,no,チョウ目,シジミチョウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Dacalana_akayamai_female_upperside.jpg,https://commons.wikimedia.org/wiki/File:Dacalana_akayamai_female_upperside.jpg,Q1763812
58,アキアカネ,アキアカネ,アキアカネ,トンボ,no,蜻蛉目,トンボ科,http://commons.wikimedia.org/wiki/Special:FilePath/%E3%82%A2%E3%82%AD%E3%82%A2%E3%82%AB%E3%83%8D_%E3%83%A1%E3%82%B9_Sympetrum_frequens_female_s4.JPG,https://commons.wikimedia.org/wiki/File:%E3%82%A2%E3%82%AD%E3%82%A2%E3%82%AB%E3%83%8D_%E3%83%A1%E3%82%B9_Sympetrum_frequens_female_s4.JPG,Q1314491
59,アキマドボタル,アキマドボタル,アキマドボタル,甲虫,no,コウチュウ目,ホタル科,http://commons.wikimedia.org/wiki/Special:FilePath/%EB%B0%98%EB%94%A7%EB%B6%88%EC%9D%B4.jpg,https://commons.wikimedia.org/wiki/File:%EB%B0%98%EB%94%A7%EB%B6%88%EC%9D%B4.jpg,Q2072207
60,アクティオンゾウカブト,アクティオンゾウカブト,アクティオンゾウカブト,甲虫,no,コウチュウ目,コガネムシ科,http://commons.wikimedia.org/wiki/Special:FilePath/Megasoma_actaeon_MHNT_Femelle.jpg,https://commons.wikimedia.org/wiki/File:Megasoma_actaeon_MHNT_Femelle.jpg,Q644737
61,アクモニア・アマビリス,アクモニア・アマビリス,アクモニア・アマビリス,カメムシ,no,カメムシ目,ビワハゴロモ科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_truebug.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
62,アクモニア・アモエナ,アクモニア・アモエナ,アクモニア・アモエナ,カメムシ,no,カメムシ目,ビワハゴロモ科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_truebug.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
63,アクモニア・カルボナリア,アクモニア・カルボナリア,アクモニア・カルボナリア,カメムシ,no,カメムシ目,ビワハゴロモ科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_truebug.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
64,アクモニア・サングイナリス,アクモニア・サングイナリス,アクモニア・サングイナリス,カメムシ,no,カメムシ目,ビワハゴロモ科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_truebug.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
65,アクモニア・スピロータ,アクモニア・スピロータ,アクモニア・スピロータ,カメムシ,no,カメムシ目,ビワハゴロモ科,http://commons.wikimedia.org/wiki/Special:FilePath/Acmonia_spilota_TPopp.jpg,https://commons.wikimedia.org/wiki/File:Acmonia_spilota_TPopp.jpg,Q10399683
66,アクモニア・トリヴィア,アクモニア・トリヴィア,アクモニア・トリヴィア,カメムシ,no,カメムシ目,ビワハゴロモ科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_truebug.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
67,アクモニア・フィクタ,アクモニア・フィクタ,アクモニア・フィクタ,カメムシ,no,カメムシ目,ビワハゴロモ科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_truebug.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
68,アクモニア・プロクリス,アクモニア・プロクリス,アクモニア・プロクリス,カメムシ,no,カメムシ目,ビワハゴロモ科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_truebug.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
69,アケビコノハ,アケビコノハ,アケビコノハ,チョウ,no,チョウ目,ヤガ科,http://commons.wikimedia.org/wiki/Special:FilePath/Adris_tyrannus_amurensis_P9059228%E3%82%A2%E3%82%B1%E3%83%93%E3%82%B3%E3%83%8E%E3%83%8F.jpg,https://commons.wikimedia.org/wiki/File:Adris_tyrannus_amurensis_P9059228%E3%82%A2%E3%82%B1%E3%83%93%E3%82%B3%E3%83%8E%E3%83%8F.jpg,Q1370445
70,アゲハタマゴバチ,アゲハタマゴバチ,アゲハタマゴバチ,ハチ,no,ハチ目,Trichogrammatidae,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_bee.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
71,アゲハモドキ,アゲハモドキ,アゲハモドキ,チョウ,no,チョウ目,アゲハモドキガ科,http://commons.wikimedia.org/wiki/Special:FilePath/Epicopeia_hainesii_01.jpg,https://commons.wikimedia.org/wiki/File:Epicopeia_hainesii_01.jpg,Q5382598
72,アサギマダラ,アサギマダラ,アサギマダラ,チョウ,no,チョウ目,タテハチョウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Parantica_sita_%28feeding_nectar_s7%29.JPG,https://commons.wikimedia.org/wiki/File:Parantica_sita_%28feeding_nectar_s7%29.JPG,Q707043
73,アサヒヒョウモン,アサヒヒョウモン,アサヒヒョウモン,チョウ,no,チョウ目,タテハチョウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Nacr%C3%A9_de_l%27orcette_MHNT.jpg,https://commons.wikimedia.org/wiki/File:Nacr%C3%A9_de_l%27orcette_MHNT.jpg,Q2184340
74,アサマイチモンジ,アサマイチモンジ,アサマイチモンジ,チョウ,no,チョウ目,タテハチョウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Limenitis_glorifica1.jpg,https://commons.wikimedia.org/wiki/File:Limenitis_glorifica1.jpg,Q5974350
75,アサマシジミ,アサマシジミ,アサマシジミ,チョウ,no,チョウ目,シジミチョウ科,http://commons.wikimedia.org/wiki/Special:FilePath/207-Lycaeides_subsolana.JPG,https://commons.wikimedia.org/wiki/File:207-Lycaeides_subsolana.JPG,Q5970762
76,アシグロウマオイ,アシグロウマオイ,アシグロウマオイ,バッタ,no,バッタ目,キリギリス科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_grasshopper.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
77,アシグロツユムシ,アシグロツユムシ,アシグロツユムシ,バッタ,no,バッタ目,キリギリス科,http://commons.wikimedia.org/wiki/Special:FilePath/Asigurotuyumusi.JPG,https://commons.wikimedia.org/wiki/File:Asigurotuyumusi.JPG,Q7779641
78,アシナガアリ,アシナガアリ,アシナガアリ,ハチ,no,ハチ目,アリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Ant_%28Aphaenogaster_famelica%29_%2815522496495%29.jpg,https://commons.wikimedia.org/wiki/File:Ant_%28Aphaenogaster_famelica%29_%2815522496495%29.jpg,Q7778971
79,アシナガオトシブミ,アシナガオトシブミ,アシナガオトシブミ,甲虫,no,コウチュウ目,オトシブミ,http://commons.wikimedia.org/wiki/Special:FilePath/Phialodes_rufipennis_asinagaotsbm01.jpg,https://commons.wikimedia.org/wiki/File:Phialodes_rufipennis_asinagaotsbm01.jpg,Q2466964
80,アシナガキアリ,アシナガキアリ,アシナガキアリ,ハチ,no,ハチ目,アリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Anoplolepis_gracilipes_458690499.jpg,https://commons.wikimedia.org/wiki/File:Anoplolepis_gracilipes_458690499.jpg,Q935471
81,アシナガゴキブリ,アシナガゴキブリ,アシナガゴキブリ,その他,no,,ゴキブリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Wingless_Cockroach_%28Catara_rugosicollis%29_%288410291985%29.jpg,https://commons.wikimedia.org/wiki/File:Wingless_Cockroach_%28Catara_rugosicollis%29_%288410291985%29.jpg,Q10443784
82,アシナガメクラチビゴミムシ,アシナガメクラチビゴミムシ,アシナガメクラチビゴミムシ,甲虫,no,コウチュウ目,オサムシ科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_beetle.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
83,アシブトハナアブ,アシブトハナアブ,アシブトハナアブ,ハエ,no,ハエ目,ハナアブ科,http://commons.wikimedia.org/wiki/Special:FilePath/202503_Helophilus_virgatus.svg,https://commons.wikimedia.org/wiki/File:202503_Helophilus_virgatus.svg,Q109121838
84,アシブトメミズムシ,アシブトメミズムシ,アシブトメミズムシ,カメムシ,no,カメムシ目,Gelastocoridae,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_truebug.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
85,アジアイトトンボ,アジアイトトンボ,アジアイトトンボ,トンボ,no,蜻蛉目,イトトンボ科,http://commons.wikimedia.org/wiki/Special:FilePath/Ischnura_asiatica_%28male_s4%29.jpg,https://commons.wikimedia.org/wiki/File:Ischnura_asiatica_%28male_s4%29.jpg,Q2208767
86,アスタコイデスノコギリクワガタ,アスタコイデスノコギリクワガタ,アスタコイデスノコギリクワガタ,甲虫,no,コウチュウ目,クワガタムシ科,http://commons.wikimedia.org/wiki/Special:FilePath/Prosopocoilus_astacoides_cinnamomeus_sjh.jpg,https://commons.wikimedia.org/wiki/File:Prosopocoilus_astacoides_cinnamomeus_sjh.jpg,Q141545
87,アスタゴビウス・アングスタトゥス,アスタゴビウス・アングスタトゥス,アスタゴビウス・アングスタトゥス,甲虫,no,コウチュウ目,タマキノコムシ科,http://commons.wikimedia.org/wiki/Special:FilePath/Astagobius_angustatus.jpg,https://commons.wikimedia.org/wiki/File:Astagobius_angustatus.jpg,Q2868350
88,アズキノメイガ,アズキノメイガ,アズキノメイガ,チョウ,no,チョウ目,ツトガ科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_butterfly.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
89,アズサキリガ,アズサキリガ,アズサキリガ,チョウ,no,チョウ目,ヤガ科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_butterfly.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
90,アズマオオズアリ,アズマオオズアリ,アズマオオズアリ,ハチ,no,ハチ目,アリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Pheidole_fervida_%2810.3897-zookeys.978.55767%29_Figure_88.jpg,https://commons.wikimedia.org/wiki/File:Pheidole_fervida_%2810.3897-zookeys.978.55767%29_Figure_88.jpg,Q14085902
91,アタマクチカクシゾウムシ,アタマクチカクシゾウムシ,アタマクチカクシゾウムシ,甲虫,no,コウチュウ目,ゾウムシ科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_beetle.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
