id,original,surface,pronunciation,class,extinct,order,family,image,image_page,wikidata
15242,マダガスカルチドリ,マダガスカルチドリ,マダガスカルチドリ,鳥類,no,チドリ目,チドリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Madagascar_plover_%28Charadrius_thoracicus%29.jpg,https://commons.wikimedia.org/wiki/File:Madagascar_plover_%28Charadrius_thoracicus%29.jpg,Q520961
15243,マダガスカルチュウヒ,マダガスカルチュウヒ,マダガスカルチュウヒ,鳥類,no,タカ目,タカ科,http://commons.wikimedia.org/wiki/Special:FilePath/Circus_maillardi_flight_male_2_crop.jpg,https://commons.wikimedia.org/wiki/File:Circus_maillardi_flight_male_2_crop.jpg,Q1264118
15244,マダガスカルトキ,マダガスカルトキ,マダガスカルトキ,鳥類,no,ペリカン目,トキ科,http://commons.wikimedia.org/wiki/Special:FilePath/Ibis%2C_Madagascar_Crested2.jpg,https://commons.wikimedia.org/wiki/File:Ibis%2C_Madagascar_Crested2.jpg,Q477691
15245,マダガスカルトラフズク,マダガスカルトラフズク,マダガスカルトラフズク,鳥類,no,フクロウ目,フクロウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Madagascan_owl_%28Asio_madagascariensis%29.jpg,https://commons.wikimedia.org/wiki/File:Madagascan_owl_%28Asio_madagascariensis%29.jpg,Q241078
15246,マダガスカルハイタカ,マダガスカルハイタカ,マダガスカルハイタカ,鳥類,no,タカ目,タカ科,http://commons.wikimedia.org/wiki/Special:FilePath/Accipiter_madagascariensis_1868.jpg,https://commons.wikimedia.org/wiki/File:Accipiter_madagascariensis_1868.jpg,Q127835
15247,マダガスカルハタオリ,マダガスカルハタオリ,マダガスカルハタオリ,鳥類,no,スズメ目,ハタオリドリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Nelicourvi_Weaver.jpg,https://commons.wikimedia.org/wiki/File:Nelicourvi_Weaver.jpg,Q1304606
15248,マダガスカルハリオアマツバメ,マダガスカルハリオアマツバメ,マダガスカルハリオアマツバメ,鳥類,no,アマツバメ目,アマツバメ科,http://commons.wikimedia.org/wiki/Special:FilePath/Zoonavena_grandidieri_-_%D0%9B%D0%B0%D1%80%D0%B8%D1%81%D0%B0_%D0%90%D1%80%D1%82%D0%B5%D0%BC%D1%8C%D0%B5%D0%B2%D0%B0_-_455492040.jpeg,https://commons.wikimedia.org/wiki/File:Zoonavena_grandidieri_-_%D0%9B%D0%B0%D1%80%D0%B8%D1%81%D0%B0_%D0%90%D1%80%D1%82%D0%B5%D0%BC%D1%8C%D0%B5%D0%B2%D0%B0_-_455492040.jpeg,Q611359
15249,マダガスカルベニノジコ,マダガスカルベニノジコ,マダガスカルベニノジコ,鳥類,no,スズメ目,ハタオリドリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Forest_Fody._Foudia_omissa.jpg,https://commons.wikimedia.org/wiki/File:Forest_Fody._Foudia_omissa.jpg,Q1303127
15250,マダガスカルホトトギス,マダガスカルホトトギス,マダガスカルホトトギス,鳥類,no,カッコウ目,カッコウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Cuculus_rochii_rochii_1888.jpg,https://commons.wikimedia.org/wiki/File:Cuculus_rochii_rochii_1888.jpg,Q631863
15251,マダガスカルミフウズラ,マダガスカルミフウズラ,マダガスカルミフウズラ,鳥類,no,チドリ目,ミフウズラ科,http://commons.wikimedia.org/wiki/Special:FilePath/Madagascar_Buttonquail_SMTC.jpg,https://commons.wikimedia.org/wiki/File:Madagascar_Buttonquail_SMTC.jpg,Q1265346
15252,マダガスカルムシクイ,マダガスカルムシクイ,マダガスカルムシクイ,鳥類,no,スズメ目,テトラカヒヨドリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Randia_pseudozosterops.jpg,https://commons.wikimedia.org/wiki/File:Randia_pseudozosterops.jpg,Q1305011
15253,マダガスカルムジクイナ,マダガスカルムジクイナ,マダガスカルムジクイナ,鳥類,no,ツル目,アフリカクイナ科,http://commons.wikimedia.org/wiki/Special:FilePath/ZaporniaWatersiKeulemans.jpg,https://commons.wikimedia.org/wiki/File:ZaporniaWatersiKeulemans.jpg,Q1263790
15254,マダガスカルメジロガモ,マダガスカルメジロガモ,マダガスカルメジロガモ,鳥類,no,カモ目,カモ科,http://commons.wikimedia.org/wiki/Special:FilePath/Madagascar_Pochard%2C_Captive_Breeding_Program%2C_Madagascar_2.jpg,https://commons.wikimedia.org/wiki/File:Madagascar_Pochard%2C_Captive_Breeding_Program%2C_Madagascar_2.jpg,Q853318
15255,マダガスカルメンフクロウ,マダガスカルメンフクロウ,マダガスカルメンフクロウ,鳥類,no,フクロウ目,メンフクロウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Tyto_soumagnei_6733815.jpg,https://commons.wikimedia.org/wiki/File:Tyto_soumagnei_6733815.jpg,Q1265138
15256,マダガスカルヤツガシラ,マダガスカルヤツガシラ,マダガスカルヤツガシラ,鳥類,no,サイチョウ目,ヤツガシラ科,http://commons.wikimedia.org/wiki/Special:FilePath/Madagascar_hoopoe_%28Upupa_marginata%29.jpg,https://commons.wikimedia.org/wiki/File:Madagascar_hoopoe_%28Upupa_marginata%29.jpg,Q27074808
15257,マダガスカルヤブヒバリ,マダガスカルヤブヒバリ,マダガスカルヤブヒバリ,鳥類,no,スズメ目,ヒバリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Madagascar_Lark_-_Madagascar_S4E9095_%2816761240069%29.jpg,https://commons.wikimedia.org/wiki/File:Madagascar_Lark_-_Madagascar_S4E9095_%2816761240069%29.jpg,Q27075402
15258,マダガスカルユビナガコウモリ,マダガスカルユビナガコウモリ,マダガスカルユビナガコウモリ,哺乳類,no,翼手目,ユビナガコウモリ科,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/sekitsui/sekitsui_family_f9022eddfe27_generated.webp,https://github.com/soramimic/soramimic-wordlists/blob/main/images/sekitsui/sekitsui_family_f9022eddfe27_generated.webp,
15259,マダガスカルヨコクビガメ,マダガスカルヨコクビガメ,マダガスカルヨコクビガメ,爬虫類,no,カメ目,アフリカヨコクビガメ科,http://commons.wikimedia.org/wiki/Special:FilePath/Erymnochelys_madagascariensis.jpg,https://commons.wikimedia.org/wiki/File:Erymnochelys_madagascariensis.jpg,Q862042
15260,マダガスカルヨタカ,マダガスカルヨタカ,マダガスカルヨタカ,鳥類,no,ヨタカ目,ヨタカ科,http://commons.wikimedia.org/wiki/Special:FilePath/Madagascar_Nightjar%2C_Tsimanampetsotsa%2C_Madagascar.jpg,https://commons.wikimedia.org/wiki/File:Madagascar_Nightjar%2C_Tsimanampetsotsa%2C_Madagascar.jpg,Q1264782
15261,マダガスカルレンカク,マダガスカルレンカク,マダガスカルレンカク,鳥類,no,チドリ目,レンカク科,http://commons.wikimedia.org/wiki/Special:FilePath/Madagascar_Ja%C3%A7ana.jpg,https://commons.wikimedia.org/wiki/File:Madagascar_Ja%C3%A7ana.jpg,Q1069981
15262,マダラ,マダラ,マダラ,魚類,no,タラ目,タラ科,http://commons.wikimedia.org/wiki/Special:FilePath/Gadus_macrocephalus.png,https://commons.wikimedia.org/wiki/File:Gadus_macrocephalus.png,Q783575
